20150101,118288,16017,24400,40417,18283,29860,48143,88560,4656,7439,12095,0,0,0,3,4,7,7,133,140,0,0,0,0,1,1,0,0,0,48,102,150,0,0,0,3447,4770,8217,2844,2723,5567,0,0,0,0,145,145,24,0,24,0,6,6,0,0,0,1167,2207,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150102,116737,16372,22321,38693,20036,27306,47342,86035,5086,6254,11340,85,318,403,0,27,27,26,179,205,0,0,0,10,0,10,0,0,0,24,41,65,0,0,0,3850,5092,8942,2338,3086,5424,0,0,0,32,116,148,0,0,0,7,0,7,0,0,0,1914,2217,4131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150103,120434,19591,19656,39247,23947,26761,50708,89955,6266,5051,11317,2,1,3,24,1,25,13,12,25,0,0,0,9,7,16,0,0,0,198,168,366,0,0,0,4201,4858,9059,2074,2348,4422,0,0,0,34,25,59,166,160,326,0,0,0,0,0,0,2604,2253,4857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150104,137502,23792,22354,46146,29634,26413,56047,102193,7918,7450,15368,70,106,176,1,0,1,4,133,137,0,0,0,0,0,0,0,0,0,71,100,171,0,0,0,5010,5220,10230,2586,1707,4293,0,0,0,64,18,82,0,0,0,6,6,12,0,0,0,2486,2348,4834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150105,122653,23355,20281,43636,24646,26252,50898,94534,5518,5451,10969,2,3,5,8,7,15,33,158,191,0,10,10,0,0,0,0,0,0,61,73,134,0,0,0,4322,4855,9177,1877,1998,3875,0,0,0,52,58,110,155,155,310,3,1,4,0,0,0,1596,1710,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150106,95966,13477,16354,29831,18939,23169,42108,71939,3915,4692,8607,36,3,39,8,2,10,21,147,168,0,0,0,0,17,17,0,0,0,42,102,144,4,0,4,3568,4895,8463,1083,1820,2903,0,0,0,23,22,45,0,0,0,1,0,1,0,0,0,1499,2125,3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150107,89553,14047,15176,29223,16316,20223,36539,65762,4074,4848,8922,0,0,0,121,51,172,49,88,137,0,0,0,0,0,0,0,0,0,147,186,333,0,0,0,3069,4062,7131,1212,1653,2865,0,0,0,18,14,32,179,147,326,1,7,8,0,0,0,1787,2066,3853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150108,85423,13664,14765,28429,16765,19175,35940,64369,3871,4386,8257,1,3,4,1,1,2,42,330,372,0,1,1,0,0,0,0,0,0,30,37,67,0,0,0,3160,3610,6770,1393,1627,3020,0,0,0,31,25,56,0,0,0,8,5,13,0,0,0,1190,1290,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150109,89836,13905,14083,27988,18990,18951,37941,65929,5072,3795,8867,124,88,212,3,9,12,31,73,104,0,8,8,11,11,22,0,0,0,59,83,142,0,6,6,3792,3489,7281,1730,1653,3383,0,0,0,18,18,36,0,0,0,2,3,5,0,0,0,1941,1888,3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150110,94472,14667,14755,29422,21171,18620,39791,69213,3729,3697,7426,3,3,6,9,4,13,29,143,172,0,0,0,0,0,0,0,0,0,128,132,260,0,0,0,4245,3299,7544,2880,2298,5178,0,0,0,164,16,180,162,166,328,9,6,15,0,0,0,2117,2012,4129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
